Name,Team,Position Group,Draft Grade,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle,Height,Weight,Arm Length,Hand Size,Position,Combine ID,URL
Troy Fumagalli,Wisconsin,TE,5.38,,14,,,,,,77,247,34.125,10.25,TE,TE06,https://www.nfl.com/prospects/troy-fumagalli?id=32462018-0002-5599-55a9-fd6733deb626
Jordan Thomas,Mississippi State,TE,5.22,4.74,16,27,111,7.5,4.75,,77,265,32.25,9.625,TE,TE16,https://www.nfl.com/prospects/jordan-thomas?id=32462018-0002-5600-4939-3aec43b4d65b
David Wells,San Diego State,TE,5.05,4.75,20,33,116,7.5,4.59,12.41,78,256,32.25,9.625,TE,TE17,https://www.nfl.com/prospects/david-wells?id=32462018-0002-5598-65fe-0543a0ce6e5c
Marcus Baugh,Ohio State,TE,4.92,4.81,,33,117,7.28,4.51,12.06,75,247,33,9.5,TE,TE03,https://www.nfl.com/prospects/marcus-baugh?id=32462018-0002-5598-8520-738df7ecbe02
Quenton Nelson,Notre Dame,OL,7.4,,35,26.5,105,7.65,4.62,,77,325,33.75,10.375,G,OL26,https://www.nfl.com/prospects/quenton-nelson?id=32462018-0002-5599-486f-d1010a40f61a
Orlando Brown,Oklahoma,OL,6.12,5.85,14,19.5,82,7.87,5.38,,80,345,35,9.75,OT,OL03,https://www.nfl.com/prospects/orlando-brown?id=32462018-0002-5598-966e-c097dcfe7190
Will Hernandez,UTEP,OL,6.11,5.15,37,24,104,7.59,4.7,,74,327,32,9.875,G,OL16,https://www.nfl.com/prospects/will-hernandez?id=32462018-0002-5598-2873-8029092a1ebf
Isaiah Wynn,Georgia,OL,6.11,,,,,,,,75,313,33.375,8.5,G,OL48,https://www.nfl.com/prospects/isaiah-wynn?id=32462018-0002-5598-29a6-795bdc903bc6
James Daniels,Iowa,OL,6,,21,30.5,108,7.29,4.4,,75,306,33.75,9.5,C,OL10,https://www.nfl.com/prospects/james-daniels?id=32462018-0002-5600-48e1-4044bbc76ad1
Connor Williams,Texas,OL,5.93,5.05,26,34,112,7.83,4.63,,77,296,33,10.5,OT,OL47,https://www.nfl.com/prospects/connor-williams?id=32462018-0002-5600-1711-baf493b722cd
Billy Price,Ohio State,OL,5.9,,,,,,,,76,305,32,9.75,C,OL33,https://www.nfl.com/prospects/billy-price?id=32462018-0002-5599-11cc-88054ff74390
Mike McGlinchey,Notre Dame,OL,5.89,,24,28.5,105,,,,80,309,34,10,OT,OL24,https://www.nfl.com/prospects/mike-mcglinchey?id=32462018-0002-5598-91ce-2f09d2edeb35
Jamarco Jones,Ohio State,OL,5.86,5.5,,24,102,8.32,4.99,,76,299,35.125,9.5,OT,OL17,https://www.nfl.com/prospects/jamarco-jones?id=32462018-0002-5599-2651-ea246beb2799
Martinas Rankin,Mississippi State,OL,5.76,,24,,,,,,76,308,33.75,10.125,OL,OL36,https://www.nfl.com/prospects/martinas-rankin?id=32462018-0002-5601-845a-acb4f8dd89a0
Frank Ragnow,Arkansas,OL,5.75,,26,,,,,,77,312,33.125,9.375,C,OL35,https://www.nfl.com/prospects/frank-ragnow?id=32462018-0002-5598-2498-7d09b5e02409
Brian O'Neill,Pittsburgh,OL,5.71,4.82,22,29.5,107,7.14,4.5,,79,297,34.125,9.375,OT,OL29,https://www.nfl.com/prospects/brian-o'neill?id=32462018-0002-5601-12da-65ed51810c59
Tyrell Crosby,Oregon,OL,5.69,5.23,17,30,105,7.89,4.77,,77,309,35.25,10.75,OT,OL09,https://www.nfl.com/prospects/tyrell-crosby?id=32462018-0002-5598-36fb-6806d79bf655
Kolton Miller,UCLA,OL,5.67,4.95,24,31.5,121,7.34,4.49,,81,309,34.125,10.75,OT,OL25,https://www.nfl.com/prospects/kolton-miller?id=32462018-0002-5602-2851-0259114994f8
Austin Corbett,Nevada,OL,5.65,5.15,19,28,106,7.87,4.5,,76,306,33.125,10.5,G,OL08,https://www.nfl.com/prospects/austin-corbett?id=32462018-0002-5598-32d0-cae9da7b0ed8
Braden Smith,Auburn,OL,5.65,5.22,35,33.5,113,,4.77,,78,315,32.25,9.375,G,OL40,https://www.nfl.com/prospects/braden-smith?id=32462018-0002-5600-4269-a0395d5daaf3
Joseph Noteboom,TCU,OL,5.62,4.96,27,24,102,7.65,4.44,,77,309,34.375,9.625,OT,OL27,https://www.nfl.com/prospects/joseph-noteboom?id=32462018-0002-5598-41da-500c69ebbff9
Will Richardson,NC State,OL,5.61,5.26,,31.5,108,7.8,4.83,,78,306,35.25,9.875,OT,OL37,https://www.nfl.com/prospects/will-richardson?id=32462018-0002-5602-059f-73592c875e10
Chukwuma Okorafor,Western Michigan,OL,5.6,5.31,19,23.5,102,7.87,4.8,,78,320,34.5,10.25,OT,OL28,https://www.nfl.com/prospects/chukwuma-okorafor?id=32462018-0002-5598-6097-6a0cb1996550
Mason Cole,Michigan,OL,5.56,5.23,23,23.5,104,7.77,4.78,,76,307,32.125,9.625,C,OL07,https://www.nfl.com/prospects/mason-cole?id=32462018-0002-5600-8995-5da6060a8db7
Jamil Demby,Maine,OL,5.54,5.58,17,23.5,98,7.86,4.95,,76,319,33.75,10.75,G,OL11,https://www.nfl.com/prospects/jamil-demby?id=32462018-0002-5601-18dd-252c254d83fe
Geron Christian,Louisville,OL,5.53,5.33,19,,,,,,77,298,35,10.75,OT,OL05,https://www.nfl.com/prospects/geron-christian?id=32462018-0002-5601-5322-e972be96c146
Timon Parris,Stony Brook,OL,5.51,,27,,,,,,78,312,33.875,9.375,OT,OL31,https://www.nfl.com/prospects/timon-parris?id=32462018-0002-5598-373c-b211b226077b
Desmond Harrison,West Georgia,OL,5.49,4.9,,,,,,,78,292,34,10.375,OT,OL14,https://www.nfl.com/prospects/desmond-harrison?id=32462018-0002-5598-6694-4117d81ad24e
Colby Gossett,Appalachian State,OL,5.48,5.2,32,25,103,7.6,4.83,,77,311,33.875,10.875,G,OL13,https://www.nfl.com/prospects/colby-gossett?id=32462018-0002-5599-69ac-1a08b0d7bf0b
Jaryd Jones-Smith,Pittsburgh,OL,5.45,5.22,16,27,109,8.1,4.94,,78,317,36.25,10.25,OT,OL19,https://www.nfl.com/prospects/jaryd-jones-smith?id=32462018-0002-5599-8875-8244f9d9373a
Scott Quessenberry,UCLA,OL,5.44,5.09,25,33.5,111,7.5,4.69,,76,310,31.75,9.75,C,OL34,https://www.nfl.com/prospects/scott-quessenberry?id=32462018-0002-5601-77de-e18c2b82a0ab
Alex Cappa,Humboldt State,OL,5.42,5.39,24,26.5,97,8.04,4.84,,78,305,32.625,9.25,OT,OL04,https://www.nfl.com/prospects/alex-cappa?id=32462018-0002-5599-56a8-5a365a15c99c
Wyatt Teller,Virginia Tech,OL,5.42,5.24,30,29,114,7.45,4.84,,76,314,34,10.25,G,OL42,https://www.nfl.com/prospects/wyatt-teller?id=32462018-0002-5598-34ee-fdb0a7ca0c59
Toby Weathersby,LSU,OL,5.4,5.34,28,24.5,106,8.55,5.38,,76,317,33.25,10.25,OT,OL45,https://www.nfl.com/prospects/toby-weathersby?id=32462018-0002-5601-79cd-1afd28c6cd12
Cole Madison,Washington State,OL,5.39,5.33,26,28.5,97,7.86,4.88,,77,308,32.25,10.375,OL,OL21,https://www.nfl.com/prospects/cole-madison?id=32462018-0002-5598-38db-9933d4c8e0b2
Sean Welsh,Iowa,OL,5.37,5.43,20,25,103,7.9,4.81,,75,306,32,10.25,C,OL46,https://www.nfl.com/prospects/sean-welsh?id=32462018-0002-5598-25f0-55337d3f774b
Skyler Phillips,Idaho State,OL,5.36,5.1,,29,104,7.95,4.69,,75,318,33,9.5,G,OL32,https://www.nfl.com/prospects/skyler-phillips?id=32462018-0002-5598-30d9-890d2354507a
Brandon Parker,North Carolina A&T,OL,5.35,5.4,,28.5,113,7.82,4.68,,80,305,35,9.75,OT,OL30,https://www.nfl.com/prospects/brandon-parker?id=32462018-0002-5598-409f-6f5ebf25e92c
Will Clapp,LSU,OL,5.34,5.39,25,29,97,8.04,4.92,,76,311,31.25,9.625,C,OL06,https://www.nfl.com/prospects/will-clapp?id=32462018-0002-5601-55d3-59e994b51e34
Taylor Hearn,Clemson,OL,5.32,5.45,18,24,96,7.84,4.8,,76,320,32.5,8.75,G,OL15,https://www.nfl.com/prospects/taylor-hearn?id=32462018-0002-5601-00b7-4af0977eb780
Brian Allen,Michigan State,OL,5.26,5.34,27,26.5,99,7.81,4.71,,73,298,32.375,9.25,C,OL01,https://www.nfl.com/prospects/brian-allen?id=32462018-0002-5598-26c7-46be083be116
Brett Toth,Army,OL,5.24,,,,,,,,78,291,33.375,10.25,OT,OL43,https://www.nfl.com/prospects/brett-toth?id=32462018-0002-5599-628f-9b5fa42ee17f
K.J. Malone,LSU,OL,5.16,5.34,15,29.5,103,,,,76,303,33.5,9.25,G,OL22,https://www.nfl.com/prospects/k.j.-malone?id=32462018-0002-5602-1519-2bb04f684b4c
David Bright,Stanford,OL,5.15,,,,,,,,77,307,33.25,10.25,OT,OL02,https://www.nfl.com/prospects/david-bright?id=32462018-0002-5601-346e-036f54edaaef
Nick Gates,Nebraska,OL,5,5.46,20,24,94,7.61,4.68,,77,307,32,10.25,OT,OL12,https://www.nfl.com/prospects/nick-gates?id=32462018-0002-5601-454d-61e6f63f3a74
Coleman Shelton,Washington,OL,5,5.24,,26.5,110,7.62,4.59,,75,292,31.5,8.5,C,OL39,https://www.nfl.com/prospects/coleman-shelton?id=32462018-0002-5598-6138-e6d98d0654cb
Rod Taylor,Mississippi,OL,5,5.24,,30.5,99,,,,75,320,34.25,9.75,OT,OL41,https://www.nfl.com/prospects/rod-taylor?id=32462018-0002-5602-13b2-56b32ee0a033
Rick Leonard,Florida State,OL,4.98,,19,,,,,,79,311,32.25,9.25,OT,OL20,https://www.nfl.com/prospects/rick-leonard?id=32462018-0002-5602-10ce-6d4baf4f3ecc
Sam Jones,Arizona State,OL,4.96,5.32,28,27,101,7.92,4.86,,77,305,31,9.5,G,OL18,https://www.nfl.com/prospects/sam-jones?id=32462018-0002-5601-8194-3ee1cf322b9a
Greg Senat,Wagner,OL,4.94,5.38,19,26,106,7.41,4.71,,78,302,34.875,9.875,OT,OL38,https://www.nfl.com/prospects/greg-senat?id=32462018-0002-5599-82ad-c5d79b4d89a4
KC McDermott,Miami,OL,4.9,5.35,26,23.5,97,7.72,4.82,,78,311,32.5,9.75,G,OL23,https://www.nfl.com/prospects/kc-mcdermott?id=32462018-0002-5598-79b7-f6c1c354db5f
Salesi Uhatafe,Utah,OL,4.89,5.4,,28,109,7.7,4.9,,77,310,33,10.25,G,OL44,https://www.nfl.com/prospects/salesi-uhatafe?id=32462018-0002-5600-77f0-5fec49ea9ef1
Bradley Chubb,NC State,DL,7.25,4.65,24,36,121,7.37,4.41,,76,269,34,9.875,DE,DL28,https://www.nfl.com/prospects/bradley-chubb?id=32462018-0002-5600-4365-bb46dbbd3505
Vita Vea,Washington,DL,6.55,5.1,41,,,,,,76,347,32.625,10,DT,DL22,https://www.nfl.com/prospects/vita-vea?id=32462018-0002-5598-10ff-6ad4a5ede8ef
Da'ron Payne,Alabama,DL,6.5,4.95,27,28.5,107,7.58,4.71,,74,311,33,9.375,DT,DL15,https://www.nfl.com/prospects/da'ron-payne?id=32462018-0002-5600-68ba-6b48873dba9b
Taven Bryan,Florida,DL,6.35,4.98,30,35,119,7.12,4.48,,76,291,32.75,9.75,DT,DL02,https://www.nfl.com/prospects/taven-bryan?id=32462018-0002-5601-4019-7ec2f41a69d1
Tim Settle,Virginia Tech,DL,6.17,5.37,,23.5,96,7.95,4.83,,75,329,33,9.125,DT,DL18,https://www.nfl.com/prospects/tim-settle?id=32462018-0002-5601-905d-2aba6fe19f35
Harold Landry,Boston College,DL,6.15,4.64,24,36,119,6.88,4.19,11.35,75,252,32.875,9.375,EDGE,DL39,https://www.nfl.com/prospects/harold-landry?id=32462018-0002-5599-235e-089f5c1b4e99
Rasheem Green,USC,DL,6.05,4.73,,32.5,118,7.24,4.39,,77,275,33.75,9.875,DE,DL05,https://www.nfl.com/prospects/rasheem-green?id=32462018-0002-5601-5854-2afb70ec5847
Maurice Hurst,Michigan,DL,6,,,,,,,,74,292,32,9.5,DT,DL08,https://www.nfl.com/prospects/maurice-hurst?id=32462018-0002-5598-8798-e46b4c7bd5a7
Marcus Davenport,UTSA,DL,5.89,4.58,22,33.5,124,7.2,4.41,,78,264,33.625,9.125,DE,DL29,https://www.nfl.com/prospects/marcus-davenport?id=32462018-0002-5598-1759-f09cd314cad6
Harrison Phillips,Stanford,DL,5.86,5.21,42,32,103,7.28,4.5,,76,307,33.875,10.375,DT,DL16,https://www.nfl.com/prospects/harrison-phillips?id=32462018-0002-5600-691a-386214c1981a
Arden Key,LSU,DL,5.86,,,31,117,7.16,4.25,,78,238,33.5,10,EDGE,DL38,https://www.nfl.com/prospects/arden-key?id=32462018-0002-5600-7475-e8bb743e201f
Dorance Armstrong,Kansas,DL,5.82,4.87,20,30,118,7.12,4.23,11.82,76,257,34.75,10,EDGE,DL25,https://www.nfl.com/prospects/dorance-armstrong?id=32462018-0002-5601-24fd-f6cb2cf8a920
Da'shawn Hand,Alabama,DL,5.73,4.83,28,31.5,111,7.98,4.62,,76,297,34.375,9.75,DE,DL34,https://www.nfl.com/prospects/da'shawn-hand?id=32462018-0002-5600-968c-efc567176296
Jalyn Holmes,Ohio State,DL,5.71,4.82,25,32,,,,,77,283,34,10,DE,DL36,https://www.nfl.com/prospects/jalyn-holmes?id=32462018-0002-5598-74ca-33218d440ac2
Sam Hubbard,Ohio State,DL,5.7,,,35,116,6.84,4.32,11.61,77,270,33.125,10,DE,DL37,https://www.nfl.com/prospects/sam-hubbard?id=32462018-0002-5599-009b-acee40a56645
Derrick Nnadi,Florida State,DL,5.69,5.38,25,27,96,8.15,5.02,,73,317,33.5,9.875,DT,DL13,https://www.nfl.com/prospects/derrick-nnadi?id=32462018-0002-5598-1230-5674da00b00d
R.J. McIntosh,Miami,DL,5.68,,,,,,,,76,286,33.875,9.375,DT,DL43,https://www.nfl.com/prospects/r.j.-mcintosh?id=32462018-0002-5602-259c-922e99813935
Foley Fatukasi,Connecticut,DL,5.67,5.29,33,30,112,7.44,4.53,,76,318,34.125,10.25,DT,DL03,https://www.nfl.com/prospects/foley-fatukasi?id=32462018-0002-5599-79ae-ee18a60303d9
Chad Thomas,Miami,DL,5.67,4.92,,29,116,,,,78,281,33.5,10.25,DE,DL49,https://www.nfl.com/prospects/chad-thomas?id=32462018-0002-5599-6684-11680216f757
Nathan Shepherd,Fort Hays State,DL,5.64,5.09,,31,112,7.5,4.53,,77,315,32.375,10.125,DT,DL19,https://www.nfl.com/prospects/nathan-shepherd?id=32462018-0002-5598-92f8-36ce2fecd601
Marquis Haynes,Mississippi,DL,5.61,4.67,23,32,123,7.14,4.45,,75,235,33.25,10,EDGE,DL35,https://www.nfl.com/prospects/marquis-haynes?id=32462018-0002-5600-3280-16ad10cae69e
Breeland Speaks,Mississippi,DL,5.61,4.87,,32.5,110,7.63,4.65,,75,283,33.75,9.875,DT,DL46,https://www.nfl.com/prospects/breeland-speaks?id=32462018-0002-5600-13af-b3aba25676ae
Kendrick Norton,Miami,DL,5.56,5.25,30,,,,,,75,314,33.75,10.75,DT,DL14,https://www.nfl.com/prospects/kendrick-norton?id=32462018-0002-5602-364e-9669921073d4
Taylor Stallworth,South Carolina,DL,5.56,5.28,18,23.5,101,7.95,4.75,,74,312,32.5,10.25,DT,DL20,https://www.nfl.com/prospects/taylor-stallworth?id=32462018-0002-5602-04b0-ce97784b5e8c
Trenton Thompson,Georgia,DL,5.53,5.06,,32.5,111,7.68,4.56,,76,288,34,10.625,DT,DL21,https://www.nfl.com/prospects/trenton-thompson?id=32462018-0002-5602-1966-a3735e6f17bc
Duke Ejiofor,Wake Forest,DL,5.53,,,,,,,,76,264,34.875,9.75,DE,DL31,https://www.nfl.com/prospects/duke-ejiofor?id=32462018-0002-5598-6830-88c6e5e5499d
Tyquan Lewis,Ohio State,DL,5.53,,,35.5,122,,,,75,265,33,10.375,EDGE,DL40,https://www.nfl.com/prospects/tyquan-lewis?id=32462018-0002-5599-0467-b58ef489095c
Deadrin Senat,South Florida,DL,5.5,5.16,35,26,100,7.77,4.79,,72,314,31.625,9.75,DT,DL17,https://www.nfl.com/prospects/deadrin-senat?id=32462018-0002-5598-1435-7f170a740bc1
Josh Sweat,Florida State,DL,5.5,4.53,,39.5,124,,4.28,,76,251,34.625,10.25,EDGE,DL48,https://www.nfl.com/prospects/josh-sweat?id=32462018-0002-5598-16eb-a8d5fb71f685
John Franklin-Myers,Stephen F. Austin,DL,5.47,4.75,26,33,113,7.36,4.48,,76,283,32.875,10,DE,DL33,https://www.nfl.com/prospects/john-franklin-myers?id=32462018-0002-5601-3962-fcfe2ee52f31
Andrew Brown,Virginia,DL,5.43,5.03,31,28,101,7.51,4.48,,76,296,34.5,9.375,DE,DL27,https://www.nfl.com/prospects/andrew-brown?id=32462018-0002-5599-0745-d550ea474577
B.J. Hill,NC State,DL,5.42,4.99,35,26.5,101,7.28,4.53,,76,311,33,10.625,DT,DL07,https://www.nfl.com/prospects/b.j.-hill?id=32462018-0002-5598-5795-fcf41887ca3c
Ja'von Rolland-Jones,Arkansas State,DL,5.42,4.88,23,,,,,,74,253,32.75,10.125,EDGE,DL44,https://www.nfl.com/prospects/ja'von-rolland-jones?id=32462018-0002-5599-29b1-5604dd810b74
Eddy Wilson,Purdue,DL,5.41,5.37,26,,96,,,,76,301,33.875,9.375,DT,DL23,https://www.nfl.com/prospects/eddy-wilson?id=32462018-0002-5601-8892-d12c88d99d43
Hercules Mata'afa,Washington State,DL,5.4,4.76,26,31.5,108,7.24,4.37,,73,254,31.5,10.25,EDGE,DL42,https://www.nfl.com/prospects/hercules-mata'afa?id=32462018-0002-5602-20b9-415fb43c6d11
Zaycoven Henderson,Texas A&M,DL,5.37,5.16,20,29.5,105,7.33,4.58,,72,298,32.75,9.75,DT,DL06,https://www.nfl.com/prospects/zaycoven-henderson?id=32462018-0002-5598-1377-d47c3e49cdf9
Kylie Fitts,Utah,DL,5.35,4.69,31,32.5,117,6.88,4.19,11.82,76,263,33,9.5,EDGE,DL32,https://www.nfl.com/prospects/kylie-fitts?id=32462018-0002-5598-079b-d547fbe41b3d
Trevon Young,Louisville,DL,5.34,4.78,25,33,114,6.99,4.4,11.6,76,258,33.75,10,EDGE,DL52,https://www.nfl.com/prospects/trevon-young?id=32462018-0002-5602-01b5-1dfd1232d4f7
Justin Jones,NC State,DL,5.33,5.09,24,29,104,7.82,4.74,,74,309,33.5,10,DT,DL09,https://www.nfl.com/prospects/justin-jones?id=32462018-0002-5598-7816-2d5d90820cb5
John Atkins,Georgia,DL,5.24,5.38,,24,89,7.95,4.75,,76,321,34,9.25,DT,DL01,https://www.nfl.com/prospects/john-atkins?id=32462018-0002-5601-27cc-c32ff4c8f625
Anthony Winbush,Ball State,DL,5.24,,25,,110,,,,73,249,32.125,9.25,EDGE,DL51,https://www.nfl.com/prospects/anthony-winbush?id=32462018-0002-5601-92d9-19accabab730
Matt Dickerson,UCLA,DL,5.22,5.06,26,31,,,,,76,292,33.25,10,DE,DL30,https://www.nfl.com/prospects/matt-dickerson?id=32462018-0002-5601-20fb-354b58bbccf0
Jojo Wicker,Arizona State,DL,5.22,5.16,25,30,105,,,,75,296,31.75,9.125,DE,DL50,https://www.nfl.com/prospects/jojo-wicker?id=32462018-0002-5601-83a1-df531ed69b84
Ade Aruna,Tulane,DL,5.2,4.6,18,38.5,128,7.53,4.48,,78,262,34,10.625,DE,DL26,https://www.nfl.com/prospects/ade-aruna?id=32462018-0002-5601-26b9-e47c2ccf5aa8
Lowell Lotulelei,Utah,DL,5.15,,28,,,,,,74,315,33,9.625,DT,DL10,https://www.nfl.com/prospects/lowell-lotulelei?id=32462018-0002-5598-15ae-f7cd99a2205a
James Looney,California,DL,5.15,4.89,28,35.5,113,7.32,4.37,,75,287,32,10.5,DE,DL41,https://www.nfl.com/prospects/james-looney?id=32462018-0002-5598-08e0-62e13ecdbbe0
Kahlil McKenzie,Tennessee,DL,5.12,5.15,26,29.5,105,7.94,4.68,,77,314,31.5,10.125,DT,DL11,https://www.nfl.com/prospects/kahlil-mckenzie?id=32462018-0002-5602-26f0-b52082e52bcb
Ola Adeniyi,Toledo,DL,5.12,4.83,26,31.5,,7.21,4.28,12.79,74,248,31.75,9.625,EDGE,DL24,https://www.nfl.com/prospects/ola-adeniyi?id=32462018-0002-5601-14ef-8158a6d98666
Olubunmi Rotimi,Old Dominion,DL,5.03,,21,32,113,7.46,4.7,,76,273,34.875,9.75,DE,DL45,https://www.nfl.com/prospects/olubunmi-rotimi?id=32462018-0002-5602-184b-70d8c9ad3e2d
Bilal Nichols,Delaware,DL,5,4.95,29,,,,,,76,306,33.375,10.25,DT,DL12,https://www.nfl.com/prospects/bilal-nichols?id=32462018-0002-5599-107c-179b09c5e822
Kentavius Street,NC State,DL,4.97,4.87,28,,,,,,74,280,32.875,10.25,DE,DL47,https://www.nfl.com/prospects/kentavius-street?id=32462018-0002-5598-8182-045fdebaf683
Joshua Frazier,Alabama,DL,4.95,,21,,,,,,76,321,34.25,10,DT,DL04,https://www.nfl.com/prospects/joshua-frazier?id=32462018-0002-5601-4414-b923e4e052f4
Tremaine Edmunds,Virginia Tech,LB,7.28,4.54,19,,117,,,,77,253,34.5,9.375,LB,LB12,https://www.nfl.com/prospects/tremaine-edmunds?id=32462018-0002-5600-62d0-412c60099aca
Roquan Smith,Georgia,LB,6.56,4.51,,,,,,,73,236,32,10,OLB,LB35,https://www.nfl.com/prospects/roquan-smith?id=32462018-0002-5598-99bf-307c92f2ffbe
Rashaan Evans,Alabama,LB,6.22,,,30,116,6.95,4.36,,75,232,32.25,10,LB,LB13,https://www.nfl.com/prospects/rashaan-evans?id=32462018-0002-5600-737b-93a2d4fa1f16
Leighton Vander Esch,Boise State,LB,6.18,4.65,20,39.5,124,6.88,4.15,11.57,76,256,33.875,9.75,ILB,LB38,https://www.nfl.com/prospects/leighton-vanderesch?id=32462018-0002-5602-32a6-0b4e5b5e883e
Darius Leonard,South Carolina State,LB,5.87,4.7,17,,,,,,74,234,34.375,10.25,OLB,LB25,https://www.nfl.com/prospects/darius-leonard?id=32462018-0002-5598-185a-4784aff66bfa
Kemoko Turay,Rutgers,LB,5.87,4.65,,,,,,,77,253,33.375,9.625,EDGE,LB37,https://www.nfl.com/prospects/kemoko-turay?id=32462018-0002-5599-9667-00031057c4e6
Lorenzo Carter,Georgia,LB,5.85,4.5,,36,130,,,,78,250,34,10.375,EDGE,LB07,https://www.nfl.com/prospects/lorenzo-carter?id=32462018-0002-5601-5036-eb588e2850ea
